実測値,マ�カの点x,マ�カの点y,距離推�,キャリブレーション結果,error[%],error2[%],error[m],error2[m]
500,524,659,607.4,556.8738903,21.48,11.37477806,107.4,56.87389028
500,524,659,607.4,556.8738903,21.48,11.37477806,107.4,56.87389028
520,520,658,597.51,547.8235173,14.90576923,5.350676398,77.51,27.82351727
520,520,658,597.51,547.8235173,14.90576923,5.350676398,77.51,27.82351727
520,520,658,597.51,547.8235173,14.90576923,5.350676398,77.51,27.82351727
540,520,661,626.33,570.0564335,15.98703704,5.566006206,86.33,30.05643351
540,520,661,626.11,570.0564335,15.9462963,5.566006206,86.11,30.05643351
540,520,661,626.11,570.0564335,15.9462963,5.566006206,86.11,30.05643351
560,526,664,657.38,597.2733829,17.38928571,6.655961239,97.38,37.27338294
560,526,664,664.25,597.2733829,18.61607143,6.655961239,104.25,37.27338294
560,526,664,657.38,597.2733829,17.38928571,6.655961239,97.38,37.27338294
580,519,662,634.92,577.4331906,9.468965517,0.442553344,54.92,2.566809398
580,519,662,634.92,577.4331906,9.468965517,0.442553344,54.92,2.566809398
580,519,662,634.92,577.4331906,9.468965517,0.442553344,54.92,2.566809398
600,520,667,688.77,620.0041679,14.795,3.334027986,88.77,20.00416792
600,520,667,688.77,620.0041679,14.795,3.334027986,88.77,20.00416792
600,520,667,688.77,620.0041679,14.795,3.334027986,88.77,20.00416792
620,527,667,693,624.1680928,11.77419355,0.672273037,73,4.168092831
620,527,667,692.78,624.1680928,11.73870968,0.672273037,72.78,4.168092831
620,527,667,692.78,624.1680928,11.73870968,0.672273037,72.78,4.168092831
640,528,670,728.05,653.4880516,13.7578125,2.107508062,88.05,13.4880516
640,528,670,728.05,653.4880516,13.7578125,2.107508062,88.05,13.4880516
640,528,670,728.56,653.4880516,13.8375,2.107508062,88.56,13.4880516
660,527,672,756.78,673.1562358,14.66363636,1.993369059,96.78,13.15623579
660,528,672,757.31,673.9834468,14.74393939,2.118704067,97.31,13.98344684
660,527,672,756.52,673.1562358,14.62424242,1.993369059,96.52,13.15623579
