実測値,マーカの点x,マーカの点y,距離推定,キャリブレーション結果
20,528,402,3.0708,28.4305080937157
20-1,528,402,3.0708,28.4305080937157
20-2,528,402,3.0708,28.4305080937157
40,525,428,0.3267,47.627313323140136
40-1,525,428,0.3162,47.627313323140136
40-2,525,428,0.3162,47.627313323140136
60,528,446,0.4394,66.28750673996583
60-1,528,446,0.4394,66.28750673996583
60-2,528,445,0.4118,65.28801018630392
80,524,465,0.8627,84.92086126319008
80-1,524,465,0.8588,84.92086126319008
80-2,524,465,0.8588,84.92086126319008
100,525,482,1.1378,104.24130614938079
100-1,525,482,1.1378,104.24130614938079
100-2,525,482,1.1385,104.24130614938079
120,527,500,1.3619,126.30491437206854
120-1,527,500,1.3619,126.30491437206854
120-2,527,500,1.3619,126.30491437206854
140,525,513,1.5217,142.56351594052364
140-1,526,513,1.5227,142.77550877453874
140-2,525,512,1.5137,141.24043124692355
160,535,528,1.7498,165.77534683662418
160-1,536,528,1.7514,166.0811595442535
160-2,536,528,1.7514,166.0811595442535
180,539,541,1.9583,186.49024916483103
180-1,539,540,1.9480,184.93608725562282
180-2,538,540,1.9471,184.60159654794745
200,536,554,2.1882,206.7419388939471
200-1,536,554,2.1873,206.7419388939471
200-2,536,554,2.1882,206.7419388939471
220,528,565,2.3767,224.1799051380733
220-1,528,565,2.3767,224.1799051380733
220-2,528,565,2.3767,224.1799051380733
240,524,576,2.6054,244.80474334665462
240-1,524,576,2.6054,244.80474334665462
240-2,524,576,2.6054,244.80474334665462
260,530,586,2.8540,267.84888072261907
260-1,530,586,2.8540,267.84888072261907
260-2,530,586,2.8540,267.84888072261907
280,523,593,3.0155,282.6078584289392
280-1,523,593,3.0155,282.6078584289392
280-2,522,593,3.0145,282.40260358993135
300,520,602,3.2606,305.15141296248356
300-1,519,602,3.2602,304.9705487086793
300-2,519,602,3.2602,304.9705487086793
320,518,610,3.5043,327.5901862488265
320-1,518,610,3.5043,327.5901862488265
320-2,518,610,3.5043,327.5901862488265
340,522,617,3.7394,350.48698340648144
340-1,522,617,3.7394,350.48698340648144
340-2,522,617,3.7394,350.48698340648144
360,522,617,3.7394,350.48698340648144
360-1,522,617,3.7394,350.48698340648144
360-2,522,617,3.7394,350.48698340648144
380,521,628,4.1692,389.91083028623126
380-1,521,628,4.1692,389.91083028623126
380-2,521,628,4.1692,389.91083028623126
400,532,632,4.3665,410.20978406123754
400-1,533,632,4.3704,410.6840516629403
400-2,533,632,4.3704,410.6840516629403
420,519,638,4.6314,432.2068443364485
420-1,519,638,4.6314,432.2068443364485
420-2,519,638,4.6314,432.2068443364485
440,518,641,4.7809,446.3617122738943
440-1,519,641,4.7815,446.62228275613154
440-2,518,640,4.7637,441.4691749708796
460,538,643,4.9850,465.7262100041863
460-1,538,643,4.9850,465.7262100041863
460-2,538,643,4.9850,465.7262100041863
480,511,647,5.1434,476.417151604254
480-1,511,647,5.1434,476.417151604254
480-2,511,647,5.1434,476.417151604254
500,525,659,6.0785,557.397958455794
500-1,524,659,6.0740,556.8738902772199
500-2,524,659,6.0740,556.8738902772199
520,520,658,5.9751,547.8235172687291
520-1,520,658,5.9751,547.8235172687291
520-2,520,658,5.9751,547.8235172687291
540,520,661,6.2633,570.0564335125061
540-1,520,661,6.2611,570.0564335125061
540-2,520,661,6.2611,570.0564335125061
560,526,664,6.5738,597.2733829373127
560-1,526,664,6.6425,597.2733829373127
560-2,526,664,6.5738,597.2733829373127
580,519,662,6.3492,577.4331906021703
580-1,519,662,6.3492,577.4331906021703
580-2,519,662,6.3492,577.4331906021703
600,520,667,6.8877,620.0041679182175
600-1,520,667,6.8877,620.0041679182175
600-2,520,667,6.8877,620.0041679182175
620,527,667,6.9300,624.168092831371
620-1,527,667,6.9278,624.168092831371
620-2,527,667,6.9278,624.168092831371
640,528,670,7.2805,653.488051595398
640-1,528,670,7.2805,653.488051595398
640-2,528,670,7.2856,653.488051595398
660,527,672,7.5678,673.156235787575
660-1,528,672,7.5731,673.9834468421642
660-2,527,672,7.5652,673.156235787575
680,517,673,7.6374,677.4896481955034
680-1,517,673,7.6385,677.4896481955034
680-2,517,673,7.6374,677.4896481955034
700,522,676,8.1316,714.0265975376534
700-1,522,676,8.1295,714.0265975376534
700-2,522,676,8.1316,714.0265975376534
720,523,678,8.4476,739.2120953969893
720-1,524,678,8.4501,740.0117211011442
720-2,524,678,8.4501,740.0117211011442
740,520,681,8.9783,776.8083447963675
740-1,520,681,8.9783,776.8083447963675
740-2,520,681,8.9783,776.8083447963675
